doctor_id,first_name,last_name,specialization,phone_number,years_experience,hospital_id,email,department_id,doctor_rating
1,Megan,Chang,Craniofacial Surgery,4043876475,27,1,megan.chang@NRCH.com,1,3.64
2,Christine,King,Trauma Surgery,3927411578,17,1,christine.king@NRCH.com,2,3.0
3,Ryan,Carr,Pediatric Radiology,3878784080,32,1,ryan.carr@NRCH.com,3,2.51
4,Jennifer,Glover,Hematopathology,9093753513,20,1,jennifer.glover@NRCH.com,4,2.71
5,Christopher,Flores,Hand Surgery,6719484185,23,1,christopher.flores@NRCH.com,5,3.55
6,Christopher,Yates,Laryngology,4932423209,14,1,christopher.yates@NRCH.com,6,3.8
7,Megan,Villanueva,General Obstetrics,6689483396,9,1,megan.villanueva@NRCH.com,7,3.97
8,Travis,Davidson,Addiction Psychiatry,6513591795,9,1,travis.davidson@NRCH.com,8,3.0
9,Janice,Watson,Hospital Medicine,3562012309,17,1,janice.watson@NRCH.com,9,2.76
10,David,Lopez,Interventional Pulmonology,5164151090,20,1,david.lopez@NRCH.com,10,2.8
11,Jennifer,Mendoza,Medical ICU,8004869141,5,1,jennifer.mendoza@NRCH.com,11,3.4
12,Bruce,Mcdonald,Sports Rehabilitation,4167345792,31,1,bruce.mcdonald@NRCH.com,12,3.42
13,Alyssa,Wilson,Diabetes,2209769845,23,1,alyssa.wilson@NRCH.com,13,3.31
14,Judith,Rogers,Pediatric Oncology,7844237594,21,1,judith.rogers@NRCH.com,14,4.23
15,Jennifer,Hughes,Aortic Surgery,8108935233,14,1,jennifer.hughes@NRCH.com,15,2.46
16,Kelsey,Fletcher,Bone Marrow Transplant,2712427878,29,1,kelsey.fletcher@NRCH.com,16,3.33
17,Troy,Collins,Pediatric Neurosurgery,5062381206,4,1,troy.collins@NRCH.com,17,3.84
18,Jennifer,Smith,Lupus,3892131934,6,1,jennifer.smith@NRCH.com,18,3.31
19,Joshua,Chavez,Male Infertility,2422851240,1,1,joshua.chavez@NRCH.com,19,3.46
20,Jamie,Green,Headache Medicine,6592097765,32,1,jamie.green@NRCH.com,20,2.48
21,Dillon,Nelson,Travel Medicine,4516590042,16,1,dillon.nelson@NRCH.com,21,2.58
22,Danny,Cross,Toxicology,8423814654,5,1,danny.cross@NRCH.com,22,3.35
23,Cory,Kerr,Electrophysiology,8553171760,15,1,cory.kerr@NRCH.com,23,2.14
24,Cameron,Miller,Pediatric Anesthesia,5308601688,10,1,cameron.miller@NRCH.com,24,3.25
25,Christopher,Robinson,Glomerular Disease,3929635110,6,1,christopher.robinson@NRCH.com,25,2.79
26,Raymond,Clark,Cardiac Surgery,4393213765,21,1,raymond.clark@NRCH.com,26,3.69
27,Vanessa,Bird,Oculoplastic Surgery,5965687577,32,1,vanessa.bird@NRCH.com,27,3.71
28,Alec,Thornton,Hepatology,3553082492,20,1,alec.thornton@NRCH.com,28,3.6
29,Zachary,Sexton,Headache Medicine,4329040752,19,1,zachary.sexton@NRCH.com,20,3.33
30,Tanya,Wagner,Trauma Emergency,9808918916,22,1,tanya.wagner@NRCH.com,22,4.21
31,Catherine,Hall,Malignant Hematology,9026489451,19,1,catherine.hall@NRCH.com,16,3.81
32,Sherri,Turner,Glomerular Disease,9663022345,6,1,sherri.turner@NRCH.com,25,3.83
33,Emily,Hernandez,Pediatric Radiology,2604976701,25,1,emily.hernandez@NRCH.com,3,3.98
34,Crystal,Garcia,Primary Care,7533671097,16,1,crystal.garcia@NRCH.com,9,2.85
35,Tara,Reeves,Hypertension,7263418306,12,1,tara.reeves@NRCH.com,25,3.42
36,Sue,Winters,Thyroid Disorders,3748089933,12,1,sue.winters@NRCH.com,13,2.92
37,William,Dougherty,Medical ICU,8694611611,17,1,william.dougherty@NRCH.com,11,3.76
38,Jessica,Johnson,Pediatric Rheumatology,2667075415,5,1,jessica.johnson@NRCH.com,18,3.99
39,Michael,Smith,Hepatology,2516923031,9,1,michael.smith@NRCH.com,28,4.06
40,Mike,Johnson,Interventional Pulmonology,7327271754,3,1,mike.johnson@NRCH.com,10,2.81
41,Thomas,Carter,Benign Hematology,4528911894,35,1,thomas.carter@NRCH.com,16,3.43
